trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.4, 'e': 0.9941736665004669}",30,0,-98.78977670276572,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
56,False,"{'a': 0.4, 'e': 0.9939560979566968}",25,0,-196.8396902671464,"{0: 12, 1: 0, 2: 9, 3: 2, 4: 2}",0
57,False,"{'a': 0.4, 'e': 0.9937345535898603}",20,0,-102.28031146185893,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.4, 'e': 0.9935090342861344}",25,0,-178.9653081206626,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
59,False,"{'a': 0.4, 'e': 0.9932795409475959}",20,0,-131.28285814235366,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
60,False,"{'a': 0.4, 'e': 0.993046074492218}",20,0,-90.05968566448706,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
61,False,"{'a': 0.4, 'e': 0.9928086358538663}",30,0,-99.89014220063932,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
62,False,"{'a': 0.4, 'e': 0.9925672259822949}",25,14,-50.66361452347689,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
63,False,"{'a': 0.4, 'e': 0.9923218458431429}",25,18,-29.553074887681852,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.4, 'e': 0.9920724964179307}",20,0,-106.2220365854121,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
65,False,"{'a': 0.4, 'e': 0.9918191787040556}",20,0,-180.6924699886096,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
66,False,"{'a': 0.4, 'e': 0.9915618937147881}",25,0,-147.8257036235876,"{0: 14, 1: 6, 2: 1, 3: 2, 4: 2}",0
67,False,"{'a': 0.4, 'e': 0.9913006424792677}",25,0,-133.7250836973291,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
68,False,"{'a': 0.4, 'e': 0.9910354260424993}",20,7,-79.0848076570153,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 1}",1
